OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2383416,04092016936,BURGER 21,14220 BRADFORD GREEN SQUARE ,,CARY,NC,27519,(919) 462-0900,2015/06/01 04:00:00+00,Restaurant,6551,-78.84558396,35.79325638,M
2383417,04092020977,Food Lion #757 Deli,1100-122 Raleigh BLVD ,,RALEIGH,NC,27610-1076,(919) 829-7077,2000/07/01 04:00:00+00,Food Stand,6548,-78.61277558,35.79430477,M
2383418,04092010845,42nd St Oyster Bar,508 W JONES ST ,,RALEIGH,NC,27603-1429,(919) 831-2811,1991/04/25 04:00:00+00,Restaurant,6554,-78.6463342,35.78313026,M
2383419,04092013236,Reale,2805 Highwoods Blv ,,RALEIGH,NC,27604-1002,(919) 872-3500,2000/11/27 05:00:00+00,Restaurant,6566,-78.60147759,35.81782808,M
2383420,04092017619,STARBUCKS #29148,1101 PINE PLAZA DR ,,APEX,NC,27523,(919) 338-3360,2017/06/08 04:00:00+00,Restaurant,6574,-78.83026568,35.74675449,M
2383421,04092018747,Golden Krust,6260 PLANTATION CENTER DR,Suite 101,RALEIGH,NC,27616,(984) 200-2218,2021/12/02 05:00:00+00,Restaurant,6581,-78.58237548,35.87315637,M
2383422,04092030445,The Pounded Pig (WCID #742),2161 S WILMINGTON ST ,,RALEIGH,NC,27603-2559,(860) 604-2181,2019/10/14 04:00:00+00,Mobile Food Units,6575,-78.64171063,35.75324624,M
2383423,04092015578,CANTINA 18,433  DANIELS  ST ,,RALEIGH,NC,27605,(919) 835-9911,2010/03/04 05:00:00+00,Restaurant,6582,-78.66157335,35.79001079,M
2383424,04092010686,Saint Mary's School Dining ,900 HILLSBOROUGH ST ,,RALEIGH,NC,27603-1610,(919) 424-4093,1991/03/19 04:00:00+00,Restaurant,6593,-78.65261406,35.78272295,M
2383425,04092016933,BIRYANI XPRX,748-A E CHATHAM ST ,,CARY,NC,27511,(919) 377-1801,2015/05/26 04:00:00+00,Restaurant,6583,-78.76503719,35.79184391,M
2383426,04092110045,Rand Road Elem School Cafeteria,300 Arbor Greene Dr,,GARNER,NC,27529,(919) 662-2283,1991/04/03 04:00:00+00,Public School Lunchrooms,6619,-78.61739031,35.6553195,M
2383427,04092030333,DON BELL'S GRILL HOUSE (WCID # 606),4820 LANDOVER ARBOR PL ,,RALEIGH,NC,27616,(919) 266-4858,2017/06/05 04:00:00+00,Mobile Food Units,6631,-78.52358738,35.85256827,M
2383428,04092010167,Cloos Coney Island,2233-102 AVENT FERRY RD ,,RALEIGH,NC,27606-2138,(919) 834-3354,1991/04/19 04:00:00+00,Restaurant,6621,-78.6777461,35.7779645,M
2383429,04092016133,HIBACHI CHINA BUFFET,2909  E MILLBROOK RD ,,RALEIGH,NC,27604,(919) 878-5688,2012/03/16 04:00:00+00,Restaurant,6638,-78.58213563,35.85057911,M
2383430,04092025150,Harris Teeter #367 Starbucks,14520 John Rex BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2017/10/24 04:00:00+00,Food Stand,6640,-78.54281974,35.94700335,M
2383431,04092017090,HONEYBAKED HAM & CAFE,14460 FALLS OF NEUSE RD ,SUITE 161,RALEIGH,NC,27614,(919) 263-1796,2015/11/20 05:00:00+00,Restaurant,6641,-78.54362008,35.94386602,M
2383432,04092021082,Han-Dee Hugo's #46,1920 ROCK QUARRY RD ,,RALEIGH,NC,27610-4154,(919) 836-8780,1991/04/02 04:00:00+00,Food Stand,6651,-78.61289896,35.75413691,M
2383433,04092013047,Wake Forest BP Restaurant,103 N WHITE ST,,WAKE FOREST,NC,27587-2645,(919) 554-2294,1999/11/17 05:00:00+00,Restaurant,6655,-78.5093452,35.97984339,M
2383434,04092021004,Food Lion #938 Deli ,517 N MAIN ST ,,HOLLY SPRINGS,NC,27540-9397,(919) 557-1175,2000/07/01 04:00:00+00,Food Stand,6666,-78.83687096,35.65966057,M
2383435,04092020999,Food Lion #1496 Deli ,1777 W Williams ST ,,APEX,NC,27502,(919) 392-1986,2000/12/31 05:00:00+00,Food Stand,6667,-78.87770701,35.75964934,M
2383436,04092017085,VITA VITE,313 W HARGETT ST ,,RALEIGH,NC,27601,(919) 803-3156,2015/11/13 05:00:00+00,Restaurant,6677,-78.64424204,35.77820745,M
2383437,04092018299,YOUR PIE CARY,685 CARY TOWNE BLVD ,,CARY,NC,27511,(919) 378-9578,2020/01/23 05:00:00+00,Restaurant,6681,-78.76677132,35.77674815,M
2383438,04092013082,1853 Grille,1025 BLUE RIDGE RD ,,RALEIGH,NC,27607-3902,(919) 524-2401,1999/11/01 04:00:00+00,Restaurant,6683,-78.71510697,35.79630808,M
2383439,04092013210,Salsa Fresh Restaurant,9650 STRICKLAND RD ,,RALEIGH,NC,27615-1902,(919) 870-1107,2000/09/25 04:00:00+00,Restaurant,6691,-78.65677159,35.90420107,T
2383440,04092300163,Food Lion #1573 Meat Market,3926 WESTERN BLVD ,,RALEIGH,NC,27606-1937,(919) 664-8059,2000/07/01 04:00:00+00,Meat Market,6695,-78.69252351,35.78576143,M
2383441,04092010533,O'Charleys,101 ASHVILLE AVE ,,CARY,NC,27511-6606,(919) 851-9777,1991/04/22 04:00:00+00,Restaurant,6718,-78.78354467,35.73867895,M
2383442,04092300166,Food Lion #572 Meat Market ,8320-120 LITCHFORD RD ,,RALEIGH,NC,27615-2464,(919) 790-8146,2000/07/01 04:00:00+00,Meat Market,6696,-78.6010328,35.89310541,M
2383443,04092013128,El Rodeo Restaurant,329 S BLOUNT ST,,RALEIGH,NC,27601-1803,(919) 829-0777,2000/03/22 04:00:00+00,Restaurant,6753,-78.63625044,35.77567974,M
2383444,04092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001/02/26 05:00:00+00,Food Stand,6783,-78.68200551,35.85879117,M
2383445,04092110125,Green Hope Elementary Cafeteria,2700  Louis Stephens RD ,,CARY,NC,27519,(918) 338-5285,2000/08/11 04:00:00+00,Public School Lunchrooms,6776,-78.8608763,35.8017001,M
2383446,04092013163,Divots Grill,180 JAKE MAY DR,,WENDELL,NC,27591-9589,(919) 365-7337,2000/06/09 04:00:00+00,Restaurant,6791,-78.38670686,35.77109334,M
2383447,04092021032,Lowes Foods #191 Deli,9600 STRICKLAND RD ,,RALEIGH,NC,27615-1937,(919) 847-5661,2000/08/01 04:00:00+00,Food Stand,6807,-78.65568292,35.90277448,M
2383448,04092300147,Food Lion #1484 Meat Market,2420 WYCLIFF RD ,,RALEIGH,NC,27607-2903,(919) 571-3638,2000/07/01 04:00:00+00,Meat Market,6810,-78.692995,35.81676997,M
2383449,04092021058,Harris Teeter #90 Produce ,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,6813,-78.72593809,35.90878313,M
2383450,04092021059,Harris Teeter #90 Meat Market,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 04:00:00+00,Food Stand,6814,-78.72593809,35.90878313,M
2383451,04092300192,Food Lion #536 Meat Market ,9101 - 107 Leesville Rd,,RALEIGH,NC,27613,,2001/01/01 05:00:00+00,Meat Market,6784,-78.7231695,35.89661733,M
2383452,04092050019,Chesterbrook Academy Foodservice,130 TOWNE VILLAGE DR ,,CARY,NC,27513-8908,(919) 319-9622,2000/08/16 04:00:00+00,Private School Lunchrooms,6825,-78.83865108,35.78326671,M
2383453,04092300154,Food Lion #757 Meat Market,1100-122 Raleigh Blv,,RALEIGH,NC,27610-1076,(919) 829-7077,2000/07/01 04:00:00+00,Meat Market,6811,-78.61277558,35.79430477,M
2383454,04092020961,Food Lion #1484 Deli ,2420 WYCLIFF RD ,,RALEIGH,NC,27607-2903,(919) 571-3638,2000/07/01 04:00:00+00,Food Stand,6828,-78.692995,35.81676997,M
2383455,04092020959,Food Lion #1459 Deli,1508 BROAD ST ,,FUQUAY VARINA,NC,27526-8363,(919) 577-1000,2000/07/01 04:00:00+00,Food Stand,6826,-78.80356197,35.60352165,T
2383456,04092020984,Food Lion #669 Deli,405 S Main St,,ROLESVILLE,NC,27571-9664,(919) 554-4018,2000/07/01 04:00:00+00,Food Stand,6829,-78.46472721,35.91731538,T
2383457,04092020982,Food Lion #815 Deli ,2837 WENDELL Blv ,,WENDELL,NC,27591-6904,(919) 365-3002,2000/07/01 04:00:00+00,Food Stand,6830,-78.38037181,35.79568777,M
2383458,04092300179,Food Lion #624 Meat Market ,2458 SW CARY PKY ,,CARY,NC,27513-5318,(919) 481-1822,2000/07/01 04:00:00+00,Meat Market,6840,-78.82085718,35.76363975,M
2383459,04092015353,HIBACHI JAPAN #2,4001 WAKE FOREST  RD ,,RALEIGH,NC,27609,(919) 878-8880,2009/03/09 04:00:00+00,Restaurant,6860,-78.61511172,35.8362139,M
2383460,04092016687,PLAZA DEL MARIACHI,411 W Gannon AVE ,,ZEBULON,NC,27597,(919) 269-4464,2014/04/30 04:00:00+00,Restaurant,6863,-78.32295686,35.82026636,M
2383461,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 04:00:00+00,Food Stand,6874,-78.62502539,35.80726948,M
2383462,04092017719,Glenwood Social Club,510-101 Glenwood AVE ,,RALEIGH,NC,27603,(919) 758-8851,2017/10/26 04:00:00+00,Restaurant,6865,-78.64718,35.78663007,M
2383463,04092110127,Fred Olds Elementary Cafeteria,204 Dixie Trail ,,RALEIGH,NC,27607,(919) 856-7769 ext. 20963,2001/08/13 04:00:00+00,Public School Lunchrooms,6877,-78.67501131,35.79372144,M
2383464,04092013418,Taza Grill,6325 - 19 Falls Of Neuse Rd ,,RALEIGH,NC,27615,(919) 872-7161,2001/10/05 04:00:00+00,Restaurant,6880,-78.62102943,35.86871407,M
2383465,04092017726,Whole Foods Market #10611 Meat/Seafood,5055 Arco ST ,,CARY,NC,27519,(984) 228-0300,2017/11/03 04:00:00+00,Restaurant,6896,-78.88191924,35.83347908,M
2383466,04092017728,Whole Foods Market #10611 Specialty,5055 Arco ST ,,CARY,NC,27519,(984) 228-0300,2017/11/03 04:00:00+00,Restaurant,6897,-78.88191924,35.83347908,M
2383467,04092016686,ALPACA PERUVIAN CHARCOAL CHICKEN,9575 CHAPEL HILL  RD ,,MORRISVILLE,NC,27560,(919) 378-9259,2014/04/28 04:00:00+00,Restaurant,6898,-78.81120699,35.8045716,M
2383468,04092018684,Paragon Theaters,1140 Parkside Main ST ,,CARY,NC,27519,(919) 234-5200,2021/07/28 04:00:00+00,Restaurant,6900,-78.88929435,35.84836238,M
2383469,04092010070,Bojangles # 3,1013 NEW BERN AVE ,,RALEIGH,NC,27601-1605,(919) 821-3735,1991/04/25 04:00:00+00,Restaurant,6912,-78.62299019,35.78024331,M
2383470,04092013482,The Piper's Tavern,8304 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-3416,(919) 676-7413,2002/01/02 05:00:00+00,Restaurant,6930,-78.61981562,35.89456739,M
2383471,04092017229,CAFE SAGE @HOLIDAY INN CARY,5630 DILLARD DR ,,CARY,NC,27518,(919) 851-1220,2016/05/26 04:00:00+00,Restaurant,6939,-78.73628587,35.75553675,M
2383472,04092017810,Cafe Capistrano,"8471   Garvey  St, Ste 113",,RALEIGH,NC,27616,(919) 872-1127,2018/03/23 04:00:00+00,Restaurant,6932,-78.56786149,35.89607573,M
2383473,04092011783,Taco Bell #3421,1120 KILDAIRE FARM RD,,CARY,NC,27511-4523,(919) 481-0850,1995/12/04 05:00:00+00,Restaurant,6952,-78.78221308,35.76974275,M
2383474,04092016814,HARRIS TEETER #104 STARBUCKS,4093 DAVIS DRIVE,,MORRISVILLE,NC,27560,(919) 380-0354,2014/11/19 05:00:00+00,Restaurant,6965,-78.85811603,35.8356265,M
2383475,04092025255,Harris Teeter Meat/Seafood #498,1371 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 567-7423,2019/04/18 04:00:00+00,Food Stand,6995,-78.77604319,35.59548799,M
2383476,04092018518,Brooklyn Original Slices,4005 WAKE FOREST RD ,,RALEIGH,NC,27609-6842,(919) 790-2444,2021/01/20 05:00:00+00,Restaurant,6999,-78.61511172,35.8362139,M
2383477,04092013487,Starbucks,3023-101 Capital ,,RALEIGH,NC,27604,(919) 875-8760,2002/01/11 05:00:00+00,Restaurant,6967,-78.59167505,35.82103718,M
2383478,04092013541,China One,661 CARY TOWNE BLVD,,CARY,NC,27511-4219,(919) 461-0088,2002/02/28 05:00:00+00,Restaurant,7006,-78.76677132,35.77674815,M
2383479,04092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 04:00:00+00,Restaurant,7013,-78.50485152,35.98936616,M
2383480,04092020121,Han-Dee Hugo's #47,4120 GLENWOOD AVE ,,RALEIGH,NC,27612-4626,(919) 881-9246,1991/04/29 04:00:00+00,Food Stand,7019,-78.6725054,35.83778154,M
2383481,04092013291,Biscuitville # 169,605 STELLATA DR ,,FUQUAY VARINA,NC,27526-1946,(919) 577-6380,2001/03/01 05:00:00+00,Restaurant,7026,-78.78197965,35.59136738,M
2383482,04092013256,Mack's Mart,7526 Knightdale BLVD E,,KNIGHTDALE,NC,27545,(919) 266-1509,2000/12/19 05:00:00+00,Restaurant,6990,-78.47499077,35.79889118,M
2383483,04092013297,Willow Creek Exxon,1133 OLD HONEYCUTT RD ,,FUQUAY VARINA,NC,27526-8923,(919) 577-6361,2001/03/08 05:00:00+00,Restaurant,7028,-78.75761891,35.58333571,M
2383484,04092015197,Panda Garden,5249 Sunset Lake RD ,,HOLLY SPRINGS,NC,27540,(919) 360-5000,2008/08/12 04:00:00+00,Restaurant,7032,-78.79652372,35.66680054,M
2383485,04092015201,Tony's Pizza,8111 ROWLOCK  WAY ,SUITE C-1,RALEIGH,NC,27613,(919) 571-3588,2008/08/21 04:00:00+00,Restaurant,7033,-78.73779144,35.88567273,M
2383486,04092016433,Sticky Rice,927 DURHAM RD ,STE 107,WAKE FOREST,NC,27587,(919) 554-8189,2013/05/30 04:00:00+00,Restaurant,7039,-78.54094643,35.97615047,M
2383487,04092300288,Cary African and Caribbean Market,1435 SE Maynard ST ,,CARY,NC,27511,(919) 462-3500,2019/04/05 04:00:00+00,Meat Market,7000,-78.76384442,35.79193542,M
2383488,04092010190,The Bistro at Courtyard by Marriott,102 Edinburgh South DR ,,CARY,NC,27511,(919) 481-9666,1991/05/03 04:00:00+00,Restaurant,7051,-78.79973727,35.73824019,M
2383489,04092030411,Gym Tacos (WCID #699),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 600-8708,2019/04/18 04:00:00+00,Mobile Food Units,7001,-78.64171063,35.75324624,M
2383490,04092010301,Goodberry's Creamery,1146 KILDAIRE FARM RD,,CARY,NC,27511-4583,(919) 467-2386,1991/05/03 04:00:00+00,Restaurant,7054,-78.78352136,35.76590978,M
2383491,04092013325,Harris Teeter #90 Deli,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-0589,2001/07/02 04:00:00+00,Restaurant,7067,-78.72593809,35.90878313,M
2383492,04092018214,Culver's of Apex #730,1401 KELLY RD,,APEX,NC,27502,(919) 372-5610,2019/11/04 05:00:00+00,Restaurant,7073,-78.89533544,35.73714061,M
2383493,04092010095,Bull And Bear,5442 SIX FORKS RD ,,RALEIGH,NC,27609-4436,(919) 847-3617,1991/05/02 04:00:00+00,Restaurant,7081,-78.64059702,35.85499105,M
2383494,04092018505,Transfer Company Bar,500 E Davie ST ,,RALEIGH,NC,27601,(984) 232-8122,2020/12/16 05:00:00+00,Restaurant,7099,-78.63206132,35.77487463,M
2383495,04092012312,Taco Bell,1205 LAURA VILLAGE RD ,,APEX,NC,27523-7140,(919) 363-6684,1998/10/06 04:00:00+00,Restaurant,7088,-78.83579203,35.74888522,M
2383496,04092020997,Food Lion #996 Deli,7971 FAYETTEVILLE RD ,,RALEIGH,NC,27603-5631,(919) 772-0317,2000/07/01 04:00:00+00,Food Stand,7104,-78.69742539,35.66508155,M
2383497,04092021132,Whole Foods Market Produce Department,3540 WADE AVE ,,RALEIGH,NC,27607-4048,(919) 828-5805,2002/07/23 04:00:00+00,Food Stand,7110,-78.68558086,35.80212022,M
2383498,04092010661,Side Street Restaurant,225 N Bloodworth St ,,RALEIGH,NC,27601-1105,(919) 828-4927,1991/04/29 04:00:00+00,Restaurant,7126,-78.63331201,35.78351455,M
2383499,04092110022,Sanderson High Sch. Cafeteria,5500 DIXON DR ,,RALEIGH,NC,27609-4202,(919) 881-4800 ext. 24820,1991/05/01 04:00:00+00,Public School Lunchrooms,7132,-78.64657305,35.86106088,M
2383500,04092010072,Bojangles #11,7525 Knightdale Blvd,,KNIGHTDALE,NC,27545-9274,(919) 266-2768,1991/05/01 04:00:00+00,Restaurant,7133,-78.47567038,35.79946062,M
2383501,04092300149,Food Lion #1557 Meat Market ,4827 Grove Barton Rd,,RALEIGH,NC,27613,,2000/07/01 04:00:00+00,Meat Market,7136,-78.71866323,35.869194,M
2383502,04092300151,Food Lion #1079 Meat Market,5621 Louisburg Rd,,RALEIGH,NC,27616-5353,(919) 981-0402,2000/07/01 04:00:00+00,Meat Market,7137,-78.55796888,35.85459972,M
2383503,04092300156,Food Lion #1654 Meat Market,7440 Louisburg Rd ,,RALEIGH,NC,27616-6482,(919) 875-1394,2000/07/01 04:00:00+00,Meat Market,7138,-78.53977,35.87454018,M
2383504,04092300158,Food Lion #561 Meat Market,217 TIMBER DR ,,GARNER,NC,27529-4870,(919) 779-5551,2000/07/01 04:00:00+00,Meat Market,7139,-78.60613102,35.68500723,M
2383505,04092300168,Food Lion #1589 Meat Market ,3417 N MAIN ST,,FUQUAY VARINA,NC,27526-7257,(919) 557-0555,2000/07/01 04:00:00+00,Meat Market,7140,-78.7258865,35.62516136,M
2383506,04092300175,Food Lion #1496 Meat Market ,1777 W Williams ST ,,APEX,NC,27502,,2000/07/01 04:00:00+00,Meat Market,7141,-78.87770701,35.75964934,M
2383507,04092300177,Food Lion #996 Meat Market,7971 FAYETTEVILLE RD ,,RALEIGH,NC,27603-5631,(919) 772-0317,2000/07/01 04:00:00+00,Meat Market,7142,-78.69742539,35.66508155,M
2383508,04092013670,Cracker Barrel #461,955 AIRPORT BLVD,,MORRISVILLE,NC,27560-9194,(919) 463-9222,2002/10/01 04:00:00+00,Restaurant,7151,-78.82292274,35.85849879,M
2383509,04092013442,Starbucks #8459,4421 SIX FORKS RD,STE 116,RALEIGH,NC,27609-5761,(919) 571-0713,2001/10/24 04:00:00+00,Restaurant,7166,-78.64349886,35.84017418,M
2383510,04092040087,Fancy Dogs #2 (WCID #106),3200 Gresham Lake RD ,STE 117,RALEIGH,NC,27615,(919) 426-3196,2001/01/05 05:00:00+00,Pushcarts,7176,-78.58228759,35.88437165,M
2383511,04092021046,Specialty South Commissary,3200 Gresham Lake Rd,Ste 117,RALEIGH,NC,27615,(919) 855-8548,2001/01/11 05:00:00+00,Food Stand,7180,-78.58228759,35.88437165,M
2383512,04092013707,Homegrown Pizza,4928 Linksland Dr,,HOLLY SPRINGS,NC,27540,(919) 577-5575,2002/11/08 05:00:00+00,Restaurant,7199,-78.81055316,35.65750438,M
2383513,04092013232,Nakato Express,1262 NW Maynard Rd ,,CARY,NC,27513,(919) 463-7677,2000/11/08 05:00:00+00,Restaurant,7177,-78.80987267,35.78462498,M
2383514,04092013475,Bojangles # 29,12109 Cloverleaf Dr,,WAKE FOREST,NC,27587-6516,(919) 554-2243,2001/12/14 05:00:00+00,Restaurant,7201,-78.54093466,35.97688776,M
2383515,04092013479,Subway,160 Wakelon St ,,ZEBULON,NC,27597,(919) 269-9293,2001/12/04 05:00:00+00,Restaurant,7202,-78.31858381,35.83228812,M
2383516,04092013513,Mitchells Catering,1732 Capital BLVD ,,RALEIGH,NC,27604-1362,(919) 847-0135,2002/01/24 05:00:00+00,Restaurant,7208,-78.61946829,35.80200303,M
2383517,04092010035,Ashworth Rexall Drug,105 W CHATHAM ST,,CARY,NC,27511-3331,(919) 467-1834,1991/05/02 04:00:00+00,Restaurant,7230,-78.78142086,35.78714267,M
2383518,04092010218,Denny's Restaurant,3215 Wake Forest Rd ,,RALEIGH,NC,27609-7446,(919) 876-9556,1991/04/05 04:00:00+00,Restaurant,7234,-78.6209672,35.82707648,M
2383519,04092010082,Brigs,8111 CREEDMOOR RD ,,RALEIGH,NC,27613-4389,(919) 870-0994,1991/05/03 04:00:00+00,Restaurant,7274,-78.68248786,35.89850336,M
2383520,04092010674,Hardees,8000 FAYETTEVILLE RD ,,RALEIGH,NC,27603-5634,(919) 772-9503,1991/04/03 04:00:00+00,Restaurant,7283,-78.70014716,35.665391,M
2383521,04092021170,Snoopy's Hot Dogs & More # 4,3600 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-9022,2003/02/05 05:00:00+00,Food Stand,7289,-78.68359497,35.79339075,M
2383522,04092021171,Super Target Deli,12000 Retail Dr,,WAKE FOREST,NC,27587,(919) 761-1001,2003/01/29 05:00:00+00,Food Stand,7291,-78.54185229,35.97418356,M
2383523,04092010405,Kanki Japanese House Of Steaks,4500 Old Wake Forest RD ,,RALEIGH,NC,27609-6235,(919) 876-4157,1991/05/08 04:00:00+00,Restaurant,7319,-78.6099575,35.84195384,M
2383524,04092010625,Romas Pizzeria,3805 Brentwood Rd,,RALEIGH,NC,27604-1723,(919) 876-2818,1991/05/08 04:00:00+00,Restaurant,7325,-78.60062749,35.83624718,M
2383525,04092021136,Lowes Foods #189 Seafood ,3001 Widewaters Pky ,,KNIGHTDALE,NC,27545,(919) 217-9184,2002/08/28 04:00:00+00,Food Stand,7332,-78.50515596,35.79511678,M
2383526,04092013640,Lowes Foods #187 Deli,12524 Capital BLVD ,,WAKE FOREST,NC,27587-7487,(919) 562-5020,2002/08/09 04:00:00+00,Restaurant,7333,-78.53270438,35.98593613,M
2383527,04092013650,Lowes Foods #189 Deli ,3001 Widewaters Pky ,,KNIGHTDALE,NC,27545,(919) 217-9184,2002/08/28 04:00:00+00,Restaurant,7334,-78.50515596,35.79511678,M
2383528,04092013346,BROOKDALE OF NORTH RALEIGH FOOD SERVICE,1200 Carlos Dr ,,RALEIGH,NC,27609,(919) 334-2222,2001/07/05 04:00:00+00,Restaurant,7360,-78.61847832,35.86397289,M
2383529,04092021148,Papa John's,1238 W WILLIAMS ST ,,APEX,NC,27502-3953,(919) 303-9100,2002/09/25 04:00:00+00,Food Stand,7367,-78.87260887,35.74617982,M
2383530,04092160010,Rex Rehabilitation And Nursing Care Center Cafe,4210 Lake Boone Tra ,,RALEIGH,NC,27609,(919) 784-6632,2003/04/16 04:00:00+00,Institutional Food Service,7376,0,0,U
2383531,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 04:00:00+00,Restaurant,7380,-78.66105804,35.79149603,M
2383532,04092110044,East Garner Middle Sch. Cafeteria,6301 Jones Sausage Rd ,,GARNER,NC,27529,(919) 662-2339 ext. 24448,1991/04/03 04:00:00+00,Public School Lunchrooms,7397,-78.58456208,35.70105306,M
2383533,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 04:00:00+00,Institutional Food Service,7377,-78.49437107,35.97212034,M
2383534,04092013354,Abbotswood Assisted Living Dining Services,7900 CREEDMOOR RD,,RALEIGH,NC,27613-4382,(919) 847-3202,2001/07/06 04:00:00+00,Restaurant,7402,-78.67950967,35.89545367,M
2383535,04092013705,UDUPI Cafe,590 E Chatham St ,,CARY,NC,27511,(919) 465-0898,2002/10/29 04:00:00+00,Restaurant,7414,-78.76832214,35.79037457,M
2383536,04092010708,Subway,4112 PLEASANT VALLEY RD ,,RALEIGH,NC,27612-6256,(919) 787-7981,1991/05/13 04:00:00+00,Restaurant,7421,-78.70472608,35.86043731,M
2383537,04092110086,Leesville Middle-Elem. Sch. Cafeteria,8405 LEESVILLE RD ,,RALEIGH,NC,27613-1004,(919) 870-4200 ext. 24607,1991/08/20 04:00:00+00,Public School Lunchrooms,7428,-78.71776597,35.88906793,M
2383538,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 04:00:00+00,Restaurant,7437,-78.77115656,35.82699882,M
2383539,04092010827,Winston's Grille,6401 FALLS OF NEUSE RD ,,RALEIGH,NC,27615-6812,(919) 790-0700,1991/05/08 04:00:00+00,Restaurant,7441,-78.62163029,35.86964663,M
2383540,04092013767,Bojangles # 31,10610 Durant Rd ,,RALEIGH,NC,27614,(919) 870-8002,2003/02/18 05:00:00+00,Restaurant,7455,-78.59121781,35.90586931,M
2383541,04092160042,Cary Health & Rehab Food Service,6590 Tryon Rd ,,CARY,NC,27511,(919) 851-8000,2003/06/13 04:00:00+00,Institutional Food Service,7462,-78.76593642,35.74356976,M
2383542,04092300216,A & C Supermarket Meat Market,3210-131 S Wilmington St ,,RALEIGH,NC,27603,(919) 232-2288,2003/07/09 04:00:00+00,Meat Market,7434,-78.65050023,35.73622566,M
2383543,04092110137,Apex Elementary Cafeteria,700 Tingen Rd ,,APEX,NC,27502,(919) 387-2150 ext. 23083,2003/08/06 04:00:00+00,Public School Lunchrooms,7466,-78.85703339,35.720967,M
2383544,04092013400,Woodland Terrace Independent Living Foodservices,300 KILDAIRE WOODS DR ,,CARY,NC,27511-7708,(919) 465-0356,2001/09/05 04:00:00+00,Restaurant,7474,-78.7790102,35.76613538,M
2383545,04092013878,El Senor,2001 Widewater Pky ,,KNIGHTDALE,NC,27545,(919) 261-0808,2003/08/19 04:00:00+00,Restaurant,7502,-78.50515596,35.79511678,T
2383546,04092013879,Golden China - Zebulon,182 Wakelon Dr,,ZEBULON,NC,27597,(919) 269-4070,2003/08/18 04:00:00+00,Restaurant,7501,-78.31513526,35.83270752,M
2383547,04092013907,Jason's Deli,909 Spring Forest Rd,Suite 100,RALEIGH,NC,27609,(919) 855-9898,2003/10/06 04:00:00+00,Restaurant,7504,-78.62312587,35.86765935,M
2383548,04092013446,PNC Arena Deck (Lunch Counter),1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,2001/11/02 04:00:00+00,Restaurant,7518,-78.7229363,35.8032419,M
2383549,04092021201,Middle Creek Park,151 Middle Creek Park AVE ,,APEX,NC,27502,(919) 427-9891,2003/06/23 04:00:00+00,Food Stand,7525,-78.76496342,35.66722008,M
2383550,04092160026,Holly Hill Hospital Kitchen,3019 Falstaff Rd,,RALEIGH,NC,27610,(919) 250-7000,2003/06/28 04:00:00+00,Institutional Food Service,7528,-78.58396978,35.78299281,M
2383551,04092010133,Casa Carbone,6019-A Glenwood Ave ,,RALEIGH,NC,27612,(919) 781-8750,1991/05/03 04:00:00+00,Restaurant,7506,-78.70070149,35.85470632,M
2383552,04092021202,Lowes Foods #207 Deli,112 Bass Lake Rd,,HOLLY SPRINGS,NC,27540,(919) 577-6971,2003/07/10 04:00:00+00,Food Stand,7532,-78.82480349,35.65381034,M
2383553,04092010617,Rex Hospital Cafeteria,4420 Lake Boone TRL ,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 04:00:00+00,Restaurant,7533,-78.70242018,35.81817246,M
2383554,04092110001,Northwoods Elementary Cafeteria,8850 CHAPEL HILL RD ,,CARY,NC,27513-3741,(919) 460-3491 ext. 26939,1991/09/16 04:00:00+00,Public School Lunchrooms,7544,-78.78956761,35.79556423,M
